"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"18.03.2020","6,4752","6,4010","6,4945","6,3995","1,22%"
"19.03.2020","6,5439","6,4840","6,5582","6,4653","1,06%"
"20.03.2020","6,5525","6,5438","6,5665","6,4548","0,13%"
"23.03.2020","6,5617","6,5528","6,6185","6,5403","0,14%"
"24.03.2020","6,4203","6,5605","6,5740","6,3917","-2,16%"
"25.03.2020","6,4170","6,4205","6,4773","6,3773","-0,05%"
"26.03.2020","6,3979","6,4169","6,5117","6,3793","-0,30%"
"27.03.2020","6,4550","6,3982","6,4764","6,3885","0,89%"
"30.03.2020","6,5773","6,4549","6,5974","6,4433","1,89%"
"31.03.2020","6,6143","6,5764","6,6272","6,5490","0,56%"
"01.04.2020","6,7030","6,6149","6,7140","6,6087","1,34%"
"02.04.2020","6,6153","6,7024","6,7205","6,5891","-1,31%"
"03.04.2020","6,7310","6,6137","6,7517","6,6083","1,75%"
"06.04.2020","6,7815","6,7291","6,7951","6,7075","0,75%"
"07.04.2020","6,7540","6,7801","6,7895","6,6927","-0,41%"
"08.04.2020","6,7737","6,7550","6,7968","6,7512","0,29%"
"09.04.2020","6,6746","6,7737","6,7979","6,6164","-1,46%"
"10.04.2020","6,7001","6,6746","6,7298","6,6590","0,38%"
"13.04.2020","6,7721","6,7033","6,8018","6,7009","1,07%"
"14.04.2020","6,8155","6,7723","6,8256","6,7603","0,64%"
"15.04.2020","6,9118","6,8153","6,9283","6,8127","1,41%"
"16.04.2020","6,9397","6,9118","6,9605","6,8860","0,40%"
"17.04.2020","6,9317","6,9397","6,9584","6,8253","-0,11%"
"20.04.2020","6,9402","6,9314","6,9575","6,8714","0,12%"
"21.04.2020","6,9812","6,9394","7,0008","6,9346","0,59%"
"22.04.2020","6,9787","6,9812","7,0097","6,9516","-0,04%"
"23.04.2020","6,9462","6,9797","7,0005","6,9226","-0,47%"
"24.04.2020","6,9742","6,9395","6,9970","6,9395","0,40%"
"27.04.2020","6,9861","6,9707","6,9973","6,9450","0,17%"
"28.04.2020","6,9868","6,9862","7,0051","6,9788","0,01%"
"29.04.2020","6,9520","6,9868","6,9960","6,9433","-0,50%"
"30.04.2020","6,9864","6,9521","6,9963","6,9433","0,49%"
"01.05.2020","7,0120","6,9866","7,0441","6,9785","0,37%"
"04.05.2020","7,0430","7,0158","7,0553","6,9965","0,44%"
"05.05.2020","7,0746","7,0442","7,1038","7,0205","0,45%"
"06.05.2020","7,1968","7,0745","7,2115","7,0624","1,73%"
"07.05.2020","7,1195","7,1954","7,2712","7,0623","-1,07%"
"08.05.2020","7,0840","7,1195","7,1802","7,0575","-0,50%"
"11.05.2020","7,0762","7,0844","7,1118","7,0530","-0,11%"
"12.05.2020","6,9971","7,0713","7,0784","6,9699","-1,12%"
"13.05.2020","6,9748","6,9971","7,0004","6,9647","-0,32%"
"14.05.2020","6,9220","6,9745","6,9868","6,8988","-0,76%"
"15.05.2020","6,9012","6,9221","6,9323","6,8928","-0,30%"
"18.05.2020","6,8851","6,8991","6,9036","6,8235","-0,23%"
"19.05.2020","6,7775","6,8850","6,8878","6,7536","-1,56%"
"20.05.2020","6,7912","6,7775","6,8018","6,7639","0,20%"
"21.05.2020","6,7916","6,7907","6,8188","6,7778","0,01%"
"22.05.2020","6,8147","6,7923","6,8316","6,7818","0,34%"
"25.05.2020","6,8100","6,8146","6,8213","6,7983","-0,07%"
"26.05.2020","6,7275","6,8101","6,8215","6,6957","-1,21%"
"27.05.2020","6,7739","6,7280","6,7862","6,7190","0,69%"
"28.05.2020","6,8138","6,7733","6,8245","6,7673","0,59%"
"29.05.2020","6,8202","6,8157","6,8437","6,7975","0,09%"
"01.06.2020","6,8142","6,8221","6,8293","6,7905","-0,09%"
"02.06.2020","6,7145","6,8143","6,8232","6,6870","-1,46%"
"03.06.2020","6,7440","6,7048","6,7705","6,6835","0,44%"
"04.06.2020","6,7558","6,7439","6,7723","6,7165","0,17%"
"05.06.2020","6,7700","6,7557","6,7962","6,7325","0,21%"
"08.06.2020","6,7876","6,7673","6,7969","6,7570","0,26%"
"09.06.2020","6,7973","6,7888","6,8096","6,7678","0,14%"
"10.06.2020","6,7768","6,7965","6,8029","6,7610","-0,30%"
"11.06.2020","6,8414","6,7768","6,8572","6,7667","0,95%"
"12.06.2020","6,8126","6,8415","6,8467","6,7930","-0,42%"
"15.06.2020","6,8363","6,8136","6,8637","6,8054","0,35%"
"16.06.2020","6,8439","6,8362","6,8540","6,8127","0,11%"
"17.06.2020","6,8448","6,8442","6,8618","6,8253","0,01%"
"18.06.2020","6,8562","6,8448","6,8641","6,8292","0,17%"
"19.06.2020","6,8531","6,8563","6,8628","6,8260","-0,05%"
"22.06.2020","6,8483","6,8478","6,8611","6,8313","-0,07%"
"23.06.2020","6,8511","6,8491","6,8627","6,8335","0,04%"
"24.06.2020","6,8558","6,8515","6,8623","6,8362","0,07%"
"25.06.2020","6,8549","6,8563","6,8620","6,8265","-0,01%"
"26.06.2020","6,8546","6,8548","6,8631","6,8403","-0,00%"
"29.06.2020","6,8548","6,8539","6,8592","6,8415","0,00%"
"30.06.2020","6,8525","6,8549","6,8590","6,8386","-0,03%"
"01.07.2020","6,8479","6,8534","6,8598","6,8385","-0,07%"
"02.07.2020","6,8510","6,8480","6,8591","6,8365","0,05%"
"03.07.2020","6,8623","6,8509","6,9899","6,8404","0,17%"
"06.07.2020","6,8609","6,8618","6,8743","6,8359","-0,02%"
"07.07.2020","6,8595","6,8605","6,8706","6,8453","-0,02%"
"08.07.2020","6,8605","6,8595","6,8689","6,8457","0,01%"
"09.07.2020","6,8619","6,8605","6,8693","6,8478","0,02%"
"10.07.2020","6,8658","6,8618","6,8724","6,8504","0,06%"
"13.07.2020","6,8602","6,8677","6,8760","6,8422","-0,08%"
"14.07.2020","6,8642","6,8602","6,8721","6,8523","0,06%"
"15.07.2020","6,8558","6,8639","6,8705","6,8510","-0,12%"
"16.07.2020","6,8572","6,8558","6,8660","6,8460","0,02%"
"17.07.2020","6,8587","6,8573","6,8776","6,8436","0,02%"
"20.07.2020","6,8578","6,8586","6,8688","6,8445","-0,01%"
"21.07.2020","6,8254","6,8577","6,8671","6,8165","-0,47%"
"22.07.2020","6,8506","6,8247","6,8569","6,8185","0,37%"
"23.07.2020","6,8439","6,8510","6,8548","6,8250","-0,10%"
"24.07.2020","6,8484","6,8433","6,8547","6,8310","0,07%"
"27.07.2020","6,8625","6,8468","6,9655","6,8355","0,21%"
"28.07.2020","6,9317","6,8894","6,9754","6,8560","1,01%"